Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
0	-31.69948	0	-31.69948	0.118155	0.0699891	0.109607	0.195916	0.205017	0.107929
10000	-25.32181	0	-25.32181	0.129353	0.171085	0.322608	0.331361	0.14618	0.0673679
20000	-29.50648	0	-29.50648	0.305624	0.134722	0.141076	0.274271	0.0822541	0.237301
30000	-29.06693	0	-29.06693	0.0722569	0.142707	0.136122	0.579548	0.0350114	0.0834365
40000	-31.26347	0	-31.26347	0.190481	0.0839189	0.143266	0.521103	0.0793519	0.172083
50000	-24.3077	0	-24.3077	0.136365	0.152382	0.105817	0.273124	0.10599	0.0883387
60000	-23.20932	0	-23.20932	0.0801042	0.18749	0.255969	0.267806	0.068355	0.0842535
70000	-24.65961	0	-24.65961	0.138671	0.143976	0.308432	0.502471	0.0941271	0.11555
80000	-27.39858	0	-27.39858	0.107174	0.156963	0.24319	0.435442	0.0648114	0.146726
90000	-28.02978	0	-28.02978	0.132326	0.0801012	0.227172	0.251441	0.126984	0.206913
100000	-22.70555	0	-22.70555	0.189342	0.122042	0.364687	0.140278	0.0992499	0.13824
110000	-31.58925	0	-31.58925	0.277759	0.0732802	0.150871	0.245453	0.123376	0.260596
120000	-29.0484	0	-29.0484	0.281502	0.0575722	0.1013	0.358984	0.0836396	0.187115
130000	-36.31583	0	-36.31583	0.0882684	0.219534	0.094953	1.0155	0.119671	0.263912
140000	-26.83792	0	-26.83792	0.0994493	0.0947144	0.589934	0.365874	0.11619	0.209001
150000	-26.37119	0	-26.37119	0.0602726	0.10007	0.517885	0.285988	0.146202	0.170434
160000	-30.58312	0	-30.58312	0.164716	0.202344	0.067756	0.393887	0.222519	0.192413
170000	-29.68808	0	-29.68808	0.110711	0.269426	0.629726	0.315833	0.266188	0.136208
180000	-25.47913	0	-25.47913	0.0869782	0.134992	0.18449	0.159153	0.119748	0.16772
190000	-31.05911	0	-31.05911	0.16721	0.105266	0.663663	0.462367	0.146227	0.245355
200000	-26.80467	0	-26.80467	0.0928316	0.163436	0.206016	0.103812	0.222071	0.0460308
210000	-31.24708	0	-31.24708	0.116095	0.198278	0.104052	0.293842	0.0944969	0.324962
220000	-28.70052	0	-28.70052	0.0399188	0.10176	0.304202	0.260925	0.10068	0.0559991
230000	-22.73069	0	-22.73069	0.0944856	0.0777581	0.65896	0.17947	0.0915124	0.155545
240000	-27.29492	0	-27.29492	0.0767992	0.113613	0.610559	0.235693	0.0861035	0.127847
250000	-23.96179	0	-23.96179	0.178002	0.110172	0.135179	0.356881	0.112177	0.18494
260000	-27.99872	0	-27.99872	0.188697	0.153147	0.13233	0.291512	0.0400578	0.207748
270000	-30.85033	0	-30.85033	0.193299	0.139229	0.368224	0.24153	0.146052	0.0932199
280000	-23.01005	0	-23.01005	0.107386	0.197082	0.208576	0.209261	0.150587	0.0996629
290000	-25.64334	0	-25.64334	0.146939	0.0711001	0.206044	0.433288	0.137553	0.0801884
300000	-25.74735	0	-25.74735	0.150848	0.287394	0.197609	0.294161	0.131236	0.162551
310000	-24.07438	0	-24.07438	0.0596902	0.400426	0.187431	0.264657	0.122521	0.191761
320000	-25.94932	0	-25.94932	0.151441	0.210014	0.161656	0.233392	0.150681	0.162739
330000	-28.87889	0	-28.87889	0.107416	0.317636	0.207327	0.194474	0.0613971	0.100923
340000	-20.8541	0	-20.8541	0.140677	0.138686	0.244052	0.29203	0.145904	0.224418
350000	-27.00887	0	-27.00887	0.135937	0.143661	0.363619	0.139393	0.242202	0.161871
360000	-27.08254	0	-27.08254	0.13407	0.115894	0.255993	0.413122	0.166648	0.0651029
370000	-30.07681	0	-30.07681	0.195738	0.059961	0.111027	0.505267	0.149344	0.167156
380000	-30.57115	0	-30.57115	0.169922	0.096844	0.338688	0.289337	0.319443	0.0764939
390000	-25.26996	0	-25.26996	0.0698365	0.0561727	0.331654	0.19766	0.159032	0.0868768
400000	-25.24561	0	-25.24561	0.278522	0.0450814	0.449272	0.18198	0.111584	0.150453
410000	-25.15054	0	-25.15054	0.0855164	0.122115	0.299685	0.406102	0.257838	0.0408459
420000	-33.17827	0	-33.17827	0.185398	0.240042	0.214118	0.318905	0.295498	0.116657
430000	-25.86085	0	-25.86085	0.209299	0.167307	0.139392	0.130651	0.106052	0.0903528
440000	-26.60095	0	-26.60095	0.0857843	0.120262	0.0994494	0.400158	0.167245	0.0571656
450000	-24.96441	0	-24.96441	0.101412	0.143896	0.341408	0.463518	0.0792836	0.193113
460000	-21.75707	0	-21.75707	0.0749423	0.173777	0.28133	0.202332	0.183806	0.160612
