Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	mu[1]	mu[2]	mu[3]
0	-56.75637	0	-56.75637	0.237193	0.218582	0.113025	0.135644	0.119381	0.144294
10000	-27.53411	0	-27.53411	0.270472	0.0845477	0.175332	0.149462	0.195128	0.0670734
20000	-25.19627	0	-25.19627	0.256955	0.13025	0.177664	0.199422	0.155533	0.180757
30000	-28.96981	0	-28.96981	0.464252	0.238605	0.175777	0.267893	0.264768	0.271062
40000	-31.02731	0	-31.02731	0.361247	0.0603864	0.236018	0.44253	0.378912	0.089214
50000	-23.29518	0	-23.29518	0.186057	0.0964575	0.135422	0.209254	0.125324	0.106562
60000	-28.26687	0	-28.26687	0.508364	0.163097	0.272754	0.245815	0.284368	0.203155
70000	-23.89219	0	-23.89219	0.223515	0.1164	0.156887	0.125819	0.179885	0.0849749
80000	-28.87029	0	-28.87029	0.530814	0.226696	0.277461	0.383134	0.120845	0.181067
90000	-34.23829	0	-34.23829	0.345864	0.0897558	0.267567	0.313866	0.238202	0.170029
100000	-29.71958	0	-29.71958	0.25042	0.231589	0.153299	0.348145	0.22909	0.0428134
110000	-29.4338	0	-29.4338	0.224742	0.152645	0.141563	0.408032	0.0567435	0.0757528
120000	-25.30948	0	-25.30948	0.252002	0.155013	0.16529	0.355899	0.111777	0.137921
130000	-24.79345	0	-24.79345	0.295795	0.0903008	0.176332	0.148375	0.151015	0.222107
140000	-29.83135	0	-29.83135	0.560806	0.107018	0.146018	0.190584	0.0496727	0.145876
150000	-29.93611	0	-29.93611	0.178229	0.165866	0.274884	0.137008	0.185014	0.0750158
160000	-30.80994	0	-30.80994	0.170298	0.385423	0.27903	0.454253	0.149939	0.161548
170000	-29.79257	0	-29.79257	0.184227	0.244543	0.260598	0.35096	0.0962701	0.0654674
180000	-27.71289	0	-27.71289	0.308343	0.118952	0.171646	0.420435	0.0802503	0.0719599
190000	-28.76074	0	-28.76074	0.13112	0.161372	0.145962	0.354754	0.0952171	0.0479054
200000	-23.48404	0	-23.48404	0.415801	0.0709978	0.252783	0.313656	0.111012	0.0959677
210000	-31.15234	0	-31.15234	0.126898	0.178661	0.181651	0.218642	0.169119	0.0563677
220000	-29.54023	0	-29.54023	0.211136	0.232478	0.122265	0.166868	0.0350952	0.179864
230000	-33.57241	0	-33.57241	0.285344	0.0539389	0.137564	0.505629	0.0616592	0.0905162
240000	-30.11365	0	-30.11365	0.734368	0.104704	0.210645	0.206023	0.157591	0.277725
250000	-27.92603	0	-27.92603	0.188658	0.195951	0.3178	0.341346	0.119645	0.160497
260000	-40.21957	0	-40.21957	0.28699	0.221939	0.29762	0.141827	0.187868	0.278492
270000	-24.75407	0	-24.75407	0.233884	0.0684129	0.1985	0.308859	0.144206	0.142023
280000	-27.96769	0	-27.96769	0.41363	0.328001	0.142874	0.427941	0.211564	0.151345
290000	-27.46904	0	-27.46904	0.211669	0.234137	0.27325	0.179521	0.248655	0.0989009
300000	-28.97926	0	-28.97926	0.255254	0.167212	0.0798395	0.177337	0.1904	0.202537
310000	-28.21085	0	-28.21085	0.479478	0.139652	0.286358	0.134555	0.139043	0.12267
320000	-28.28227	0	-28.28227	0.121506	0.10552	0.126948	0.332663	0.138299	0.178499
330000	-28.64756	0	-28.64756	0.214922	0.0837556	0.588616	0.39931	0.120581	0.184851
340000	-26.30585	0	-26.30585	0.198624	0.107321	0.150388	0.369909	0.403145	0.0717413
350000	-35.59531	0	-35.59531	0.338815	0.168711	0.39816	0.0910307	0.164741	0.0939188
