taxon	max_age	min_age
t3	27.605297206901	27.605297206901
t4	29.6677842379237	25.1997678091908
t6	23.8722349907899	23.8722349907899
t9	22.0592245216829	9.46719015425854
t10	21.9427494679304	21.9427494679304
t11	22.0182224033364	19.3843288079638
t12	19.7944169808996	3.40611818240912
t13	13.9045710607634	13.9045710607634
t14	18.9856914916241	0
t15	16.9336196256911	16.9336196256911
t17	16.5056109235574	0
t18	11.5095965900854	9.49206137667451
t19	9.87092181847324	0
t20	11.157080579907	0
t21	1.57614063786336	0
t22	14.9292201268877	0
t23	4.50013997032292	0
t25	14.8587806589135	14.8587806589135
t26	8.53962087147008	0
t27	10.5761001969358	7.16824343449577
t28	4.96344219637816	0
t31	5.38864157929045	0
t32	1.52219435839319	0
t35	8.80981496170872	2.60686832128705
t36	8.46053943621198	8.46053943621198
t37	2.20004761028915	0
t40	5.31240538049416	0
t41	1.00287309586106	0
t42	1.66183947930736	0
t46	5.4096290706028	0
t48	11.4992679509484	11.4992679509484
t49	3.991473647689	0
t50	3.47118626792651	0
t51	1.78977901249549	0
t52	8.86665152963756	0
t54	16.6297051606705	0
t55	16.5540442165248	15.098540877577
t56	13.2507733041455	1.29616942330088
t57	8.59402605377827	4.67345691655864
t60	1.87316566842381	0
t62	2.48043234344815	0
t64	0.685822270210313	0
t67	5.27960844624714	0
t68	2.62382378626225	0
t69	2.26668132192817	0
t71	3.33056973580197	0
t74	4.01439185289857	0
t84	1.88635310881312	0
t85	3.1605153813959	3.1605153813959
t88	1.22648347493692	0
t91	8.3557393636621	7.98708668618818
t92	9.44035788140886	0
t93	10.610031280114	0
t94	4.49113072577866	0
t95	5.90141728961585	0
t96	5.37421944576682	0
t98	1.95387675464323	0
t99	12.0353407053443	10.8798507880303
t100	5.88962207789352	0
t104	11.2045711204444	0
t105	11.7220014926702	0
t107	7.97484035324651	0
t108	6.71420284926851	0
t109	1.89525480636142	0
t110	8.85426230915236	0
t111	2.94374607510995	0
t112	0.963857137991631	0
t113	0.0776716195741471	0
t118	2.58697996565327	0
t120	3.08766363135365	3.08766363135365
t121	5.09386488193295	0
t122	1.27415949892612	0
t124	0.0232735657018139	0
t133	6.55670042718445	6.55670042718445
t134	4.97035637296178	0
t135	5.9530648063235	0
t136	1.92751492406151	0
t137	4.72167745562314	0
t138	3.90205182309617	0
t139	6.04274123784711	0
t142	0.644603784342419	0
t143	2.72614099124846	0
t144	3.41055048499934	0
t145	0.205972158268519	0
t146	1.90641657341013	0
t147	0.825308767801296	0
t149	5.91217502955142	0
t153	8.00145987430076	8.00145987430076
t155	11.2681364552385	0
t156	2.14136195093374	0
t157	2.58508518484742	0
t158	0.550270307708793	0
t159	0.60318758763275	0
t160	3.12655024821603	0
t164	2.33688828566512	0
t171	1.01250390559396	0
t177	2.53582253445867	2.12584665751046
t180	0.951386494685114	0
t181	4.25194972562935	4.25194972562935
t182	0.521060291803181	0
t183	7.3727558121329	0
t184	6.69311335992429	0
t185	2.4864474864152	0
t186	2.50573163156086	0
t187	0.126698007195888	0
t188	3.45832887279367	0
t191	4.45299370078414	0
t193	2.9579927510338	0
t196	2.60400138349006	0
t197	1.36173775702045	0
t199	5.75900544093474	0
t200	3.42891688619325	0
t201	4.80275790024707	0
t202	2.52294731278639	2.52294731278639
t203	0.880088544438298	0
t204	1.00645426580407	0
t207	1.12062242163212	0
t209	1.11617067139412	1.11617067139412
t210	1.88674972985016	0
t211	0.966278991331002	0
t217	2.31177404164336	0
t218	4.44507265989918	0
t219	5.20837726537933	2.16085580658065
t220	5.12137935540684	5.12137935540684
t221	7.42074863393935	0
t222	2.9288812279383	0
t223	3.53711368749483	3.53711368749483
t224	3.49733818514861	0
t225	0.564538681630957	0
t230	1.05080735988778	0
t232	0.0624104033500039	0
t233	0.0887283309474967	0
t234	1.37137425612903	0
t236	0.469563097715533	0
t238	2.85273262235264	0
t240	2.10962939245933	0
t241	6.48958461527977	0
t242	0.71407065739125	0
t244	0.311175423478293	0
t245	5.66986976286116	5.66986976286116
t246	4.29921328340066	4.29921328340066
t247	5.35467781997315	0
t248	4.83002101786775	0
t251	6.24057027746767	6.24057027746767
t252	3.61609530418988	0
t254	4.21194758962265	0
t256	0.303660413703899	0
t258	0.697346716163597	0
t262	0.818239198304031	0
t264	4.31261920083549	0
t265	2.54066853027214	0
t267	0.227833163479065	0
t271	1.44814437879486	0
t272	1.32360738395019	0
t273	4.45917174522006	0
t274	2.28809829416955	0
t275	2.33424036769092	0
t277	1.79329612617489	0
t282	0.630138189100318	0
t283	0.384561609268022	0
t284	1.10013369347014	0
t292	7.3563886432519	0
t293	6.0037185329934	5.19657131195801
t294	4.56145756658185	0
t295	1.23946461437965	0
t296	3.38205820924648	0
t297	0.711529897438123	0
t298	1.25505078432272	0
t300	1.22362530502069	1.22362530502069
t301	2.59549386874877	0
t302	0.653213836076784	0
t304	1.86491733209273	0
t308	4.79517921269666	0
t310	2.41373858529198	0
t315	0.567617308615588	0
t317	4.58543016176264	0
t319	5.07018863602044	4.77585001248564
t320	2.95819770720186	0
t321	0.660561359873441	0
t323	0.245817979873244	0
t326	1.38559290302173	0
t328	1.1197702016401	0
t329	0.749873834447826	0
t331	0.242819750708136	0
t334	1.54880497285648	0
t336	0.653620409944669	0
t341	0.796779531209385	0
t342	1.17957709010613	0
t344	5.07589816399505	0
t346	4.49937830081906	0
t348	3.9069012363386	0
t349	1.67599153070852	0
t350	1.8487249198315	0
t351	0.0121072183791462	0
t352	0.239695465126697	0
t354	0.871677197676831	0
t362	1.03094373303436	0
t363	2.41789768539317	0
t364	2.83801263561425	1.6874756483046
t368	5.01558313679729	0
t369	2.3285173571912	0
t372	0.209764819998806	0
t374	0.578398738152945	0
t378	4.79044105811077	0
t380	2.13967674558435	0
t383	4.31406906902449	0
t384	4.13376047823425	0
t385	0.935041397171613	0
t386	3.73211634230267	3.73211634230267
t389	3.61936134256694	3.21163231943074
t390	0.842173355639485	0
t391	3.5188543757229	0
t392	2.3593461210015	0
t397	0.141107452029114	0
t398	0.0312700207911369	0
t400	1.25041713900202	0
t405	0.414798391728993	0
t408	1.91122926031248	0
t409	0.26146313434349	0.26146313434349
t411	2.51838150489949	0
t417	2.11280399609809	0
t420	1.86135076128398	1.86135076128398
t421	1.95359705778912	0
t426	1.20082808266808	0
t429	0.613415277748672	0
t434	0.0675053920541551	0
t436	1.43590535975618	0
t437	0.165522191744277	0
t440	0.373737008071171	0
