taxon	min_age	max_age	status
t2	21.415238751797	26.9350910948124	extinct
t2	16.3817364973947	21.415238751797	extinct
t3	10.9332727817819	16.3817364973947	extinct
t4	21.415238751797	26.9350910948124	extinct
t4	16.3817364973947	21.415238751797	extinct
t5	16.3817364973947	21.415238751797	extinct
t7	16.3817364973947	21.415238751797	extinct
t7	10.9332727817819	16.3817364973947	extinct
t9	21.415238751797	26.9350910948124	extinct
t10	16.3817364973947	21.415238751797	extinct
t11	10.9332727817819	16.3817364973947	extant
t11	0	5.70864570094272	extant
t12	10.9332727817819	16.3817364973947	extinct
t12	5.70864570094272	10.9332727817819	extinct
t14	16.3817364973947	21.415238751797	extinct
t15	16.3817364973947	21.415238751797	extinct
t16	10.9332727817819	16.3817364973947	extinct
t17	5.70864570094272	10.9332727817819	extant
t17	0	5.70864570094272	extant
t18	5.70864570094272	10.9332727817819	extinct
t19	0	5.70864570094272	extant
t20	0	5.70864570094272	extinct
t21	10.9332727817819	16.3817364973947	extinct
t23	5.70864570094272	10.9332727817819	extant
t23	0	5.70864570094272	extant
t24	0	5.70864570094272	extant
t25	21.415238751797	26.9350910948124	extinct
t25	16.3817364973947	21.415238751797	extinct
t27	16.3817364973947	21.415238751797	extinct
t28	10.9332727817819	16.3817364973947	extinct
t29	10.9332727817819	16.3817364973947	extinct
t30	5.70864570094272	10.9332727817819	extinct
t31	0	5.70864570094272	extant
t32	0	5.70864570094272	extant
t35	5.70864570094272	10.9332727817819	extant
t35	0	5.70864570094272	extant
t39	0	5.70864570094272	extant
t40	16.3817364973947	21.415238751797	extant
t40	0	5.70864570094272	extant
t41	16.3817364973947	21.415238751797	extant
t41	5.70864570094272	10.9332727817819	extant
t42	10.9332727817819	16.3817364973947	extant
t42	0	5.70864570094272	extant
t45	0	5.70864570094272	extant
t46	5.70864570094272	10.9332727817819	extinct
t47	5.70864570094272	10.9332727817819	extant
t48	0	5.70864570094272	extant
t51	16.3817364973947	21.415238751797	extinct
t52	16.3817364973947	21.415238751797	extinct
t53	10.9332727817819	16.3817364973947	extinct
t55	0	5.70864570094272	extant
t56	0	5.70864570094272	extant
t57	0	5.70864570094272	extant
t58	10.9332727817819	16.3817364973947	extinct
t59	5.70864570094272	10.9332727817819	extant
t59	0	5.70864570094272	extant
t60	0	5.70864570094272	extant
t61	10.9332727817819	16.3817364973947	extinct
t63	5.70864570094272	10.9332727817819	extant
t63	0	5.70864570094272	extant
t64	0	5.70864570094272	extant
t65	5.70864570094272	10.9332727817819	extant
t65	0	5.70864570094272	extant
t66	0	5.70864570094272	extant
