taxon	first_age	last_age
t2	16.1647843640514	12.077201808875
t3	14.3678250458107	14.3678250458107
t4	15.3051741967247	10.0826481349494
t6	12.6895042063222	11.7543516259838
t7	12.1634019214408	12.1634019214408
t8	11.0928804620854	0
t10	3.85902562214227	3.85902562214227
t12	10.6461560762621	10.4651955730984
t13	5.4406422157553	0
t14	0.169480096901623	0
t16	4.89302267719199	0
t17	6.20972279164725	6.20972279164725
t20	11.7311279648547	0
t25	4.75862146827669	0
t34	3.31286073302312	0
t36	1.0032185224355	1.0032185224355
t39	3.097686238149	0
t42	6.82428323944074	0
t43	1.3324189689591	0
t44	0.82933991779035	0
t47	2.40988173176349	0
t49	1.05661539206381	0
t58	7.32608096785214	7.32608096785214
t66	5.8600944940653	5.8600944940653
t82	1.6993893029227	1.6993893029227
t86	2.00285325385642	0
t87	1.62525719166372	0
t89	0.723276665147988	0
