taxon	min_age	max_age	status
t1	27.2787938982947	30	extinct
t1	17.598098340095	27.2787938982947	extinct
t2	17.598098340095	27.2787938982947	extinct
t3	17.598098340095	27.2787938982947	extinct
t4	17.598098340095	27.2787938982947	extinct
t4	9.00113579991739	17.598098340095	extinct
t6	17.598098340095	27.2787938982947	extant
t6	0	9.00113579991739	extant
t7	17.598098340095	27.2787938982947	extinct
t8	17.598098340095	27.2787938982947	extinct
t8	0	9.00113579991739	extinct
t9	17.598098340095	27.2787938982947	extinct
t10	17.598098340095	27.2787938982947	extinct
t10	0	9.00113579991739	extinct
t11	17.598098340095	27.2787938982947	extinct
t12	17.598098340095	27.2787938982947	extinct
t13	9.00113579991739	17.598098340095	extinct
t14	17.598098340095	27.2787938982947	extinct
t14	0	9.00113579991739	extinct
t16	17.598098340095	27.2787938982947	extinct
t18	0	9.00113579991739	extant
t19	0	9.00113579991739	extant
t20	17.598098340095	27.2787938982947	extinct
t21	17.598098340095	27.2787938982947	extinct
t22	17.598098340095	27.2787938982947	extinct
t22	9.00113579991739	17.598098340095	extinct
t23	17.598098340095	27.2787938982947	extinct
t26	0	9.00113579991739	extant
t27	0	9.00113579991739	extant
t28	0	9.00113579991739	extant
t29	9.00113579991739	17.598098340095	extant
t29	0	9.00113579991739	extant
t32	9.00113579991739	17.598098340095	extant
t32	0	9.00113579991739	extant
t33	0	9.00113579991739	extant
t34	0	9.00113579991739	extinct
t37	17.598098340095	27.2787938982947	extinct
t38	17.598098340095	27.2787938982947	extinct
t39	0	9.00113579991739	extant
t41	0	9.00113579991739	extant
t42	0	9.00113579991739	extinct
t44	17.598098340095	27.2787938982947	extant
t44	0	9.00113579991739	extant
t45	17.598098340095	27.2787938982947	extinct
t45	9.00113579991739	17.598098340095	extinct
t46	17.598098340095	27.2787938982947	extinct
t48	17.598098340095	27.2787938982947	extinct
t49	17.598098340095	27.2787938982947	extinct
t51	0	9.00113579991739	extinct
t59	0	9.00113579991739	extant
t61	0	9.00113579991739	extant
t63	0	9.00113579991739	extant
t64	0	9.00113579991739	extinct
t65	0	9.00113579991739	extant
t66	0	9.00113579991739	extant
t69	0	9.00113579991739	extant
t70	0	9.00113579991739	extant
t71	9.00113579991739	17.598098340095	extinct
t72	17.598098340095	27.2787938982947	extinct
t73	9.00113579991739	17.598098340095	extant
t73	0	9.00113579991739	extant
t74	17.598098340095	27.2787938982947	extinct
t75	17.598098340095	27.2787938982947	extinct
t76	17.598098340095	27.2787938982947	extinct
t79	0	9.00113579991739	extant
t80	0	9.00113579991739	extant
t81	0	9.00113579991739	extinct
t83	0	9.00113579991739	extant
t84	0	9.00113579991739	extant
t88	0	9.00113579991739	extant
t89	17.598098340095	27.2787938982947	extinct
t90	17.598098340095	27.2787938982947	extinct
t91	0	9.00113579991739	extinct
t92	0	9.00113579991739	extant
t94	17.598098340095	27.2787938982947	extinct
t97	9.00113579991739	17.598098340095	extant
t97	0	9.00113579991739	extant
t99	9.00113579991739	17.598098340095	extant
t99	0	9.00113579991739	extant
t100	0	9.00113579991739	extant
t105	0	9.00113579991739	extant
t106	0	9.00113579991739	extant
t107	0	9.00113579991739	extinct
t108	0	9.00113579991739	extant
t109	0	9.00113579991739	extant
t110	0	9.00113579991739	extant
t111	0	9.00113579991739	extant
t113	0	9.00113579991739	extant
t114	0	9.00113579991739	extant
t115	0	9.00113579991739	extant
t116	0	9.00113579991739	extant
t117	0	9.00113579991739	extant
t120	0	9.00113579991739	extant
t121	0	9.00113579991739	extant
t122	0	9.00113579991739	extant
t124	9.00113579991739	17.598098340095	extinct
t125	9.00113579991739	17.598098340095	extant
t125	0	9.00113579991739	extant
t126	0	9.00113579991739	extant
t127	0	9.00113579991739	extant
t129	17.598098340095	27.2787938982947	extinct
t130	0	9.00113579991739	extant
t131	0	9.00113579991739	extant
t132	0	9.00113579991739	extant
t134	0	9.00113579991739	extant
t137	0	9.00113579991739	extant
t138	0	9.00113579991739	extant
t143	0	9.00113579991739	extant
t144	0	9.00113579991739	extant
t147	17.598098340095	27.2787938982947	extant
t147	0	9.00113579991739	extant
t149	0	9.00113579991739	extinct
t150	0	9.00113579991739	extant
t153	0	9.00113579991739	extant
t155	0	9.00113579991739	extant
t156	0	9.00113579991739	extinct
t160	0	9.00113579991739	extant
t161	0	9.00113579991739	extant
t162	0	9.00113579991739	extant
t163	0	9.00113579991739	extant
t164	0	9.00113579991739	extant
t166	0	9.00113579991739	extant
t168	0	9.00113579991739	extant
t169	0	9.00113579991739	extant
t171	0	9.00113579991739	extant
t172	0	9.00113579991739	extant
t173	0	9.00113579991739	extant
t177	0	9.00113579991739	extant
t178	0	9.00113579991739	extant
t179	0	9.00113579991739	extant
t182	0	9.00113579991739	extant
t183	0	9.00113579991739	extant
t189	0	9.00113579991739	extant
t196	0	9.00113579991739	extant
t201	0	9.00113579991739	extant
t202	0	9.00113579991739	extant
t203	0	9.00113579991739	extant
t205	0	9.00113579991739	extant
t206	0	9.00113579991739	extant
t207	0	9.00113579991739	extant
t212	0	9.00113579991739	extant
t214	0	9.00113579991739	extant
t218	0	9.00113579991739	extant
t220	0	9.00113579991739	extant
t221	0	9.00113579991739	extant
t225	9.00113579991739	17.598098340095	extant
t225	0	9.00113579991739	extant
t226	0	9.00113579991739	extant
t227	0	9.00113579991739	extant
t229	9.00113579991739	17.598098340095	extinct
t229	0	9.00113579991739	extinct
t230	0	9.00113579991739	extant
t231	0	9.00113579991739	extant
