taxon	first_age	last_age
t1	14.617171039464	14.617171039464
t2	10.670310395537	9.76331271997469
t3	7.858465360956	0
t4	5.75538369968444	0
t5	5.86349082192366	5.86349082192366
t6	8.63079295486635	0
t7	4.39213954100305	4.39213954100305
t9	5.58907819480236	5.58907819480236
t10	7.94627787682318	0
t11	5.43420471596823	5.43420471596823
t12	5.54905318819981	0
t13	1.64492544659583	0
t14	3.70801843715696	0
t16	5.34231909925156	0
t17	1.92242063584344	0
t18	3.97537878476453	0
t19	3.39582993582787	2.72143546425702
t22	7.05129779746941	0
t23	4.21406594178063	0
